url;nama;ratings;reviewers;kategori;alamat;jam-tutup
https://www.google.com/maps/place/Cungkring+Pak+Jum%27at/data=!4m7!3m6!1s0x2e69c5e85c2b8c63:0xf2b7697040c0706a!8m2!3d-6.6098581!4d106.8044699!16s%2Fg%2F11g6919k83!19sChIJY4wrXOjFaS4RanDAQHBpt_I?authuser=0&hl=id&rclk=1;Cungkring Pak Jum'at;4,4;(709);Restoran;Jl. Suryakencana No.285;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Wisata+Kuliner+Bogor/data=!4m7!3m6!1s0x2e69c5dce10a7433:0x298936a753f9f638!8m2!3d-6.6045342!4d106.8077799!16s%2Fg%2F11cjj6dyxv!19sChIJM3QK4dzFaS4ROPb5U6c2iSk?authuser=0&hl=id&rclk=1;Wisata Kuliner Bogor;4,4;(3.193);Restoran;Jl. Bina Marga Kp. Parung Jambu No.1, RT.04/RW.11;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Warung+Nasi+Ijo/data=!4m7!3m6!1s0x2e69c4baa0cc45cd:0xe09165071994aade!8m2!3d-6.5593129!4d106.7354536!16s%2Fg%2F11g68zychc!19sChIJzUXMoLrEaS4R3qqUGQdlkeA?authuser=0&hl=id&rclk=1;Warung Nasi Ijo;4,4;(63);Jawa;Jl. Babakan Tengah No.1;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/Warung+Makan+Raos/data=!4m7!3m6!1s0x2e69c4b104921319:0x9f7c90f5c2e45270!8m2!3d-6.56026!4d106.7317043!16s%2Fg%2F11b6d76q5w!19sChIJGROSBLHEaS4RcFLkwvWQfJ8?authuser=0&hl=id&rclk=1;Warung Makan Raos;4,3;(75);Sunda;Jl. Babakan Raya No.144;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Tanoshi+Sushi+Bara/data=!4m7!3m6!1s0x2e69c4b1b7012613:0x642b8147f2046b5e!8m2!3d-6.5603008!4d106.7318874!16s%2Fg%2F11g027ng47!19sChIJEyYBt7HEaS4RXmsE8keBK2Q?authuser=0&hl=id&rclk=1;Tanoshi Sushi Bara;4,3;(168);Sushi;Oemah FOODCOURT, Jl. Babakan Raya No.158 Lt.2;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/B%E2%80%99Steak+Grill+%26+Pancake+Bogor/data=!4m7!3m6!1s0x2e69c5e1118555a3:0x28eb6b2278e5aeb2!8m2!3d-6.6107101!4d106.8139597!16s%2Fg%2F11dxmjv3m3!19sChIJo1WFEeHFaS4Rsq7leCJr6yg?authuser=0&hl=id&rclk=1;B’Steak Grill & Pancake Bogor;4,6;(4.611);Steak;Jl. Pajajaran Indah V No.45;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/Sate+Sumsum+Pak+OO/data=!4m7!3m6!1s0x2e69c5e9d3fe90bf:0xdc3eadbff2fde32e!8m2!3d-6.6080618!4d106.8025234!16s%2Fg%2F11cn5qy1n0!19sChIJv5D-0-nFaS4RLuP98r-tPtw?authuser=0&hl=id&rclk=1;Sate Sumsum Pak OO;4,3;(225);Sate;Jl. Suryakencana No.193;⋅ Tutup pukul 20.00
https://www.google.com/maps/place/Hanamasa/data=!4m7!3m6!1s0x2e69c23c5555555d:0xfc382f7e18a33c00!8m2!3d-6.5962384!4d106.8047949!16s%2Fg%2F1td7qm2s!19sChIJXVVVVTzCaS4RADyjGH4vOPw?authuser=0&hl=id&rclk=1;Hanamasa;4,6;(1.946);Jepang;Jl. Raya Pajajaran No.25, RT.03/RW.08;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Bebek+Kaleyo+Bogor/data=!4m7!3m6!1s0x2e69c55c40b3a423:0x2af0ce4930792b70!8m2!3d-6.6036708!4d106.809813!16s%2Fg%2F11spcsk86c!19sChIJI6SzQFzFaS4RcCt5MEnO8Co?authuser=0&hl=id&rclk=1;Bebek Kaleyo Bogor;4,7;(804);Restoran;Jl. Bina Marga No.I No.8;⋅ Tutup pukul 23.00
https://www.google.com/maps/place/Tanoshi+Sushi+Bara/data=!4m7!3m6!1s0x2e69c4b1b7012613:0x642b8147f2046b5e!8m2!3d-6.5603008!4d106.7318874!16s%2Fg%2F11g027ng47!19sChIJEyYBt7HEaS4RXmsE8keBK2Q?authuser=0&hl=id&rclk=1;Tanoshi Sushi Bara;4,3;(168);Sushi;Oemah FOODCOURT, Jl. Babakan Raya No.158 Lt.2;⋅ Tutup pukul 22.00
