url;nama;ratings;reviewers;kategori;alamat;jam-opearsional
https://www.google.com/maps/place/Warkop+Hs+Central/data=!4m7!3m6!1s0x2e69c5ac448166c1:0xaaa05d9c2819d57f!8m2!3d-6.5598226!4d106.7336732!16s%2Fg%2F11p67390sv!19sChIJwWaBRKzFaS4Rf9UZKJxdoKo?authuser=0&hl=id&rclk=1;Warkop Hs Central;4,6;(131);Kedai Kopi;Jalan Baru Jl. Babakan Tengah No.56, RT.01/RW.09;
https://www.google.com/maps/place/Kedai+Apresiasi+Alamanda/data=!4m7!3m6!1s0x2e69c5c0eb72834f:0x5cc703e6f2ed0ea5!8m2!3d-6.5649138!4d106.7346256!16s%2Fg%2F11kc0wdkm6!19sChIJT4Ny68DFaS4RpQ7t8uYDx1w?authuser=0&hl=id&rclk=1;Kedai Apresiasi Alamanda;4,4;(19);Kafe;CPPM+2VJ;⋅ Buka pukul 11.00
https://www.google.com/maps/place/Angkringan+Pancuran/data=!4m7!3m6!1s0x2e69c556e0c32b2f:0x6d21582acd2b9217!8m2!3d-6.5720569!4d106.7363859!16s%2Fg%2F11nnp1nb6l!19sChIJLyvD4FbFaS4RF5IrzSpYIW0?authuser=0&hl=id&rclk=1;Angkringan Pancuran;4,6;(71);Kedai Kopi;Lingkar Utara Jl. Dramaga Cantik No.RT 02;⋅ Buka pukul 13.00
https://www.google.com/maps/place/Botani+bakery+2/data=!4m7!3m6!1s0x2e69c552cc8e1127:0x96c44654e4b77369!8m2!3d-6.562893!4d106.732716!16s%2Fg%2F11s0x0br3j!19sChIJJxGOzFLFaS4RaXO35FRGxJY?authuser=0&hl=id&rclk=1;Botani bakery 2;4,9;(16);Kedai Kopi;Jl. Babakan - Dramaga No.40, RT.4/RW.1;
https://www.google.com/maps/place/Warkop+Bateng+2/data=!4m7!3m6!1s0x2e69c4baa82c9ebb:0x31189592cf9b2576!8m2!3d-6.5588092!4d106.7353206!16s%2Fg%2F11c6wl0yfc!19sChIJu54sqLrEaS4RdiWbz5KVGDE?authuser=0&hl=id&rclk=1;Warkop Bateng 2;4,6;(57);Kafe;Jl. Babakan Lio No.1, RT.01/rw07/RW.07;⋅ Buka pukul 07.00
https://www.google.com/maps/place/Angkringan+Dramaga+-+Happy+Feel+Rest+Area/data=!4m7!3m6!1s0x2e69c5c4d467be37:0xa1fbe55f54cf838b!8m2!3d-6.5668143!4d106.73625!16s%2Fg%2F11sjlzgrt1!19sChIJN75n1MTFaS4Ri4PPVF_l-6E?authuser=0&hl=id&rclk=1;Angkringan Dramaga - Happy Feel Rest Area;5,0;(4);Restoran;Happy Feel Rest Area, Jl. Raya Dramaga No.KM No.8;⋅ Buka pukul 16.00
https://www.google.com/maps/place/Mixue+Dramaga/data=!4m7!3m6!1s0x2e69c5cdd5ef41d3:0x76b247465325ff02!8m2!3d-6.5682467!4d106.7380746!16s%2Fg%2F11s8mry2jx!19sChIJ00Hv1c3FaS4RAv8lU0ZHsnY?authuser=0&hl=id&rclk=1;Mixue Dramaga;4,4;(302);Kafe;Jalan Raya Dramaga Km.8 Ruko 16;⋅ Buka pukul 10.00
https://www.google.com/maps/place/WARKOP+BAYU/data=!4m7!3m6!1s0x2e69c4ba766ac549:0xace7595c85c9676d!8m2!3d-6.5617851!4d106.7353136!16s%2Fg%2F11fy4ljz_c!19sChIJScVqdrrEaS4RbWfJhVxZ56w?authuser=0&hl=id&rclk=1;WARKOP BAYU;4,7;(14);Kedai Kopi;CPQP+74P, Jl. Sawah Baru, RT.01/RW.09;
https://www.google.com/maps/place/Kebab+Monster+Dramaga/data=!4m7!3m6!1s0x2e69c5b906af98c7:0xcdfa5cbbe39b3760!8m2!3d-6.5588263!4d106.7335657!16s%2Fg%2F11g1pp9j3t!19sChIJx5ivBrnFaS4RYDeb47tc-s0?authuser=0&hl=id&rclk=1;Kebab Monster Dramaga;4,7;(215);Kebab;Jl. Babakan Tengah No.48, RT.01/RW.09;⋅ Buka pukul 11.00
https://www.google.com/maps/place/WARKOP+TANJAKAN/data=!4m7!3m6!1s0x2e69c52ec5a25b69:0x9ea9efa43611c449!8m2!3d-6.5629519!4d106.7238343!16s%2Fg%2F11j22kxd1s!19sChIJaVuixS7FaS4RScQRNqTvqZ4?authuser=0&hl=id&rclk=1;WARKOP TANJAKAN;4,8;(12);Kedai Kopi;Jl. Nasional 11 No.8-823;⋅ Buka pukul 18.00
